file,title,meta_description,h1,missing_alt,internal_links,word_count
./ticari-temerrut-faizi-hesaplama.html,Ticari Temerrüt Faizi Hesaplama | SMMM Adem Yılmaz,İşletmeler arası fatura ödemelerinde vadesinde ödenmeyen alacaklar için ticari temerrüt faizi hesaplama aracı. 3095 sayılı Kanun ve TTK'ya göre.,Ticari Temerrüt Faizi Hesaplama,0,22,360
./genc-girisimci-istisnasi.html,Genç Girişimci Kazanç İstisnası 2026 | SMMM Adem Yılmaz,"Genç girişimci kazanç istisnası nedir, kimler yararlanabilir, 2026 istisna tutarı ne kadar? Şartlar, başvuru süreci ve Bağ-Kur desteğindeki güncel değişiklik.",Genç Girişimci Kazanç İstisnası Nedir?,0,8,1217
./tecil-hesaplama.html,Tecil ve Taksitlendirme Ödeme Planı — SMMM Adem Yılmaz,Vergi borçlarınız için tecil ve taksitlendirme ödeme planınızı hesaplayın. Gecikme faizi ve taksit tutarlarını Ümraniye SMMM Adem Yılmaz ile planlayın.,Tecil ve Taksitlendirme Ödeme Planı Hesaplama,0,8,980
./kdv-oranlari-uygulama.html,KDV Oranları ve Uygulamaları Rehberi | SMMM Adem Yılmaz,"KDV oranları, indirim ve beyan süreçlerine genel bakış sağlayan özet rehber.",KDV Oranları ve Uygulamalarına Genel Bakış,0,8,449
./yazilim-ihracatinda-vergi-istisnalari.html,Yazılım İhracatında Vergi İstisnaları | SMMM Adem Yılmaz,"Yazılım ve bilişim hizmeti ihracatında gelir / kurumlar vergisi istisnası, KDV istisnası ve stopaj teşvikleri hakkında genel bilgilendirme.",Yazılım ve Bilişim Hizmeti İhracatında Vergi İstisnaları,0,8,643
./kuafor-muhasebesi.html,Kuaför ve Berber Muhasebesi | SMMM Adem Yılmaz,"Kuaför, berber ve güzellik salonu açılışında yazar kasa, günlük hasılat takibi ve kiralık koltuk sistemi muhasebesi. Ücretsiz ilk görüşme.","Kuaför, Berber ve Güzellik Salonları için Muhasebe Rehberi",0,8,421
./kadikoy-mali-musavir.html,Kadıköy Mali Müşavir | SMMM Adem Yılmaz,"Kadıköy'de mali müşavirlik, esnaf muhasebesi ve e-ticaret vergi danışmanlığı. Moda, Bostancı, Göztepe ve tüm Kadıköy mahallelerine online hizmet.","Kadıköy'de Esnaf, KOBİ ve E-Ticaret İşletmeleri için Mali Müşavirlik",0,8,486
./basit-usulden-gercek-usule-gecis.html,Basit Usulden Gerçek Usule Geçiş | SMMM Adem Yılmaz,"Basit usulden gerçek usule geçiş, taksi-minibüs-servis taşımacılığı yapan mükellefler için vergi ve yazarkasa yükümlülükleri. Ümraniye mali müşavir desteği.",Basit Usulden Gerçek Usule Geçiş Rehberi,0,8,747
./fatih-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./emlak-danismanligi-muhasebesi.html,Emlak Danışmanlığı Muhasebesi | SMMM Adem Yılmaz,"Emlak ofisi ve danışmanlığı açılışında komisyon geliri faturalandırması, kira stopajı bilgilendirmesi ve yetki belgesi. Ücretsiz ilk görüşme.",Emlak Danışmanlığı Ofisleri için Muhasebe Rehberi,0,8,386
./eczane-muhasebesi.html,Eczane Muhasebesi ve Açılışı | SMMM Adem Yılmaz,"Eczane açılışında SGK reçete mutabakatı, ecza deposu cari hesapları ve e-fatura zorunluluğu. Eczaneler için özel muhasebe danışmanlığı.",Eczaneler için Muhasebe Rehberi,0,8,643
./anonim-sirket-kurulus.html,Anonim Şirket Kuruluşu | SMMM Adem Yılmaz,"Anonim şirketin temel özellikleri, limited şirketle farkları ve kuruluş süreci hakkında özet rehber.",Anonim Şirket Kuruluşu ve Limited Şirkete Göre Farkları,0,8,408
./konut-kdv-oranlari.html,Konut Teslimlerinde KDV Oranları 2025 | SMMM Adem Yılmaz,"Konut teslimlerinde güncel KDV oranları tablosu: 2013 öncesi, büyükşehir, 150 m² kuralı, 01.04.2022 sonrası ve 6306 kentsel dönüşüm KDV oranları.",Konut Teslimlerinde KDV Oranları,0,19,664
./gv20b.html,GVK Mükerrer 20/B ve Bağ-Kur Yükümlülüğü | Adem Yılmaz SMMM,Sosyal medya içerik üreticiliği ve mobil uygulama geliştirme kazançlarında GVK Mükerrer 20/B istisnası ile Bağ-Kur yükümlülüğü arasındaki fark.,Vergiden Muafsınız. Bağ-Kur'dan Değil.,0,8,731
./üsküdar-mali-musavir.html,Üsküdar Mali Müşavir | SMMM Adem Yılmaz,,,0,0,14
./airbnb.html,Airbnb Kısa Dönem Kiralama Vergisi 2026 | SMMM Adem Yılmaz,"2026 yılında Airbnb ve kısa dönem kiralama yapanlar için konaklama vergisi, KDV oranları ve KDV-2 yükümlülükleri. SMMM Adem Yılmaz — Ümraniye, İstanbul.",Airbnb ve Kısa Dönem Kiralama Vergilendirmesi 2026,0,8,1024
./2025-pratik-bilgiler.html,Pratik Bilgiler Konu Başlıkları İndeksi | SMMM Adem Yılmaz,İSMMMO Pratik Bilgiler (Vergi Uygulamaları) dokümanının konu başlıkları indeksi. Güncel oran ve tutar tabloları için 2025 Pratik Bilgiler sayfamıza bakınız.,Pratik Bilgiler Konu Başlıkları İndeksi,0,8,1131
./2025-pratik-bilgiler-tablolar.html,2025 Pratik Bilgiler | SMMM Adem Yılmaz,"2025 yılı gelir vergisi tarifesi, KDV oranları, stopaj oranları, harçlar, usulsüzlük cezaları, yeniden değerleme oranları, beyannameler, defter hadleri ve.",2025 Pratik Bilgiler,0,8,515
./2025-e-fatura-e-arsiv-zorunlulugu.html,2025 E-Fatura ve E-Arşiv Zorunluluğu | SMMM Adem Yılmaz,"2025 yılında e-fatura ve e-arşiv fatura zorunluluğu, ciro limitleri ve geçiş süreleri hakkında özet bilgiler.",2025 E-Fatura ve E-Arşiv Zorunluluğu,0,8,757
./sektorlere-ozel-muhasebe.html,Sektöre Özel Muhasebe Rehberleri | SMMM Adem Yılmaz,"Eczane, kuaför, restoran, inşaat, e-ticaret ve daha fazlası — her sektörün kendine özgü muhasebe ve vergi konularını ele alan sektörel rehberler.",Sektörünüze Özel Muhasebe Rehberleri,0,7,271
./galericilik-belgesi.html,Galericilik Belgesi Nasıl Alınır?,"Galericilik (MYK) Seviye 4 ve Seviye 5 belge farkı, başvuru aşamaları, oto galeri açmak için gerekli evraklar ve ilgili yönetmelik maddeleri.",Galericilik Belgesi Nasıl Alınır?,0,10,592
./emeklilik.html,Ne Zaman Emekli Olurum? SSK ve Bağ-Kur | SMMM Adem Yılmaz,"SSK ve Bağkur emeklilik şartları, borçlanma hakları, çift emekli maaşı ve EYT rehberi. Erkek ve kadın için güncel emeklilik koşulları özeti.",Ne Zaman Emekli Olurum?,0,19,1179
./umraniye-vergi-danismani.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./kidem-ihbar-tazminati-hesaplama.html,Kıdem ve İhbar Tazminatı Hesaplama 2026 | SMMM Adem Yılmaz,Çalışma süreniz ve son brüt maaşınıza göre net kıdem ve ihbar tazminatınızı (damga vergisi ve gelir vergisi kesintileri dahil) ücretsiz hesaplayın.,Kıdem ve İhbar Tazminatı Hesaplama,0,22,369
./2026-had.html,2026 Defter Tutma Hadleri | SMMM Adem Yılmaz,"2025 yılı iş hacminize göre 2026’da birinci sınıf mı olacaksınız, ikinci sınıfta mı kalacaksınız?",Şirketiniz 2026'da Sınıf Değiştirecek mi?,0,8,1142
./efatura.html,2026 E-Fatura ve E-Arşiv Limitleri | SMMM Adem Yılmaz,Gelir İdaresi Başkanlığı (GİB) düzenlemelerine göre 2026 yılı e-fatura ve e-arşiv fatura uygulamasına zorunlu geçiş sektörleri ve ciro limitleri.,2026 E-Fatura ve E-Arşiv Geçiş Zorunluluğu Limitleri,0,8,557
./il.html,Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,"SMMM Adem Yılmaz olarak Ümraniye merkezli ofisimden Türkiye'nin her iline online muhasebe, vergi ve mali müşavirlik hizmeti sunuyorum.",Ümraniye'den Türkiye'nin Her İline Online Mali Müşavirlik,0,7,932
./smmmumraniye.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./muhasebe-hesaplama.html,Amortisman ve Reeskont Hesaplama | SMMM Adem Yılmaz,"Amortisman (normal ve azalan bakiyeler), finansal oran analizi, gecikme zammı ve reeskont hesaplama araçları.",Profesyonel Muhasebe Hesaplama Araçları,0,21,552
./rehber.html,Hizmet İhracatında %100 Kazanç İndirimi | SMMM Adem Yılmaz,"2026'da %100'e çıkarılan hizmet ihracatı kazanç indirimi: kimler faydalanabilir, KDV istisnası nasıl işler, asgari kurumlar vergisi ne anlama gelir?",Yurt Dışına Hizmet Verenler İçin %100 Vergi Avantajı,0,9,1119
./2025-pratik-bilgi.html,Pratik Bilgiler - Vergi Uygulamaları | SMMM Adem Yılmaz,"İSMMMO Pratik Bilgiler (Vergi Uygulamaları) başlıklarının özet listesi. Vergi tarifeleri, stopaj oranları, gecikme zamları, beyanname süreleri, KDV tevkifat.",Pratik Bilgiler Vergi Uygulamaları,0,8,990
./hizli-hesaplamalar.html,Damga Vergisi ve Stopaj Hesaplama | SMMM Adem Yılmaz,"Damga vergisi (belge türüne göre), geçici vergi, gelir vergisi stopajı ve KDV tevkifatı hesaplama araçları. Ücretsiz ve 2026 güncel oranlarla anında hesaplama.","Damga Vergisi, Geçici Vergi ve Tevkifat Hesaplama",0,22,342
./umraniye-muhasebe.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./dernek-surecleri.html,"Dernek Kuruluşu | Dernek Tüzüğü, Genel Kurul ve İşleyiş","Dernek kuruluşu, tüzük hazırlanması, kurucu üyeler, genel kurul ve yönetim kurulu süreçleri hakkında sade ve güncel özet rehber.",Dernek Kuruluşu Özet Rehber,0,8,671
./zeytinburnu-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./atakent-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./hizmet-ihraci.html,Yurt Dışı Hizmet Geliri Vergi Avantajı | SMMM Adem Yılmaz,"Yurt dışına yazılım, tasarım, veri analizi veya mühendislik hizmeti sunan kişi ve kurumlar için gelir/kurumlar vergisinde %100 vergi avantajı rehberi.",Yurt Dışına Hizmet Verenler İçin %100 Vergi Avantajı Rehberi,0,9,669
./binek-arac-satin-alma-kiralama-hesaplama.html,Binek Araç: Satın Alma mı Kiralama mı? | SMMM Adem Yılmaz,"Şirket binek otomobilinde satın alma ile kiralamanın vergi sonrası maliyetini 2026 hadleriyle karşılaştırın: amortisman, ÖTV/KDV ve aylık kira sınırı.",Binek Araç: Satın Alma mı Kiralama mı?,0,22,793
./fsm-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./vergi-danismanligi-umraniye.html,SMMM Adem Yılmaz — Ümraniye Mali Müşavir,,,0,0,17
./genc-girisimci-destegi-2025.html,2025 Genç Girişimci Desteği | SMMM Adem Yılmaz,2025 genç girişimci desteği ve gelir vergisi istisnası özeti. Bağ-Kur prim desteğinin 2026'da kaldırılmasına ilişkin güncel not dahil.,2025 Genç Girişimci Desteği ve Vergi İstisnası,0,8,770
./kiragmsi.html,2025 Yılı Gelir Vergisi Dilimleri ve Hadler,30/12/2024 tarihli 329 No'lu Gelir Vergisi Tebliği ile belirlenen 2025 yılı gelir vergisi dilimleri ve dikkate alınacak had ve tutarlar.,2025 Yılı Gelir Vergisi Dilimleri ve Hadler,0,8,535
./kurumlar-vergisi-hesaplama.html,Kurumlar Vergisi Hesaplama 2026 | SMMM Adem Yılmaz,Şirketinizin vergi öncesi karına göre 2026 güncel oranla kurumlar vergisi hesaplayın. İhracat ve üretim kazançlarına uygulanan 1 puanlık indirimli oranı da.,Kurumlar Vergisi Hesaplama,0,22,341
./finanskent-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./utts-uets-vergi-sgk-gss.html,"UTTS, UETS, Vergi ve SGK Yükümlülükleri | SMMM Adem Yılmaz","UTTS yakıt takip sistemi, UETS elektronik tebligat, vergi, SGK ve GSS yükümlülükleri ile KURGAN risk analizi hakkında kısa açıklamalar.","UTTS, UETS, Vergi, SGK, GSS ve KURGAN",0,8,504
./hesaplama.html,Mali Müşavir Hesaplama Araçları 2026 | SMMM Adem Yılmaz,"Ücretsiz mali müşavir hesaplama araçları: brüt-net maaş, gelir vergisi, KDV, stopaj, tevkifat, damga vergisi, kurumlar vergisi, kıdem/ihbar tazminatı.",Mali Müşavir Hesaplama Araçları,0,14,404
./oto-yedek-parca-muhasebesi.html,Oto Yedek Parça Mağazası Muhasebesi | SMMM Adem Yılmaz,"Oto yedek parça mağazası açılışında KDV oranı, garanti/iade muhasebesi ve orijinal-muadil parça stok takibi. Ücretsiz ilk görüşme.",Oto Yedek Parça Mağazaları için Muhasebe Rehberi,0,8,378
./pendik-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./2025-kira-geliri-beyan-rehberi.html,2025 Kira Geliri Beyan Rehberi | SMMM Adem Yılmaz,"2025 yılında konut ve işyeri kira gelirlerinin beyanı, istisna tutarı, gerçek gider ve götürü gider yöntemleri hakkında pratik rehber.",2025 Kira Geliri Beyan Rehberi,0,8,746
./kartal-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./zuccaciye-ev-esyasi-muhasebesi.html,Züccaciye ve Ev Eşyası Muhasebesi | SMMM Adem Yılmaz,"Züccaciye ve ev eşyası mağazası açılışında KDV oranı, kırılabilir ürün stok/fire ve sigorta muhasebesi. Ücretsiz ilk görüşme.",Züccaciye ve Ev Eşyası Mağazaları için Muhasebe Rehberi,0,8,382
./2025gmsi.html,Konut Kira Gelirleri İstisna Uygulaması,"2025 yılında konut kira gelirlerine uygulanan 47.000 TL istisna tutarı, GVK md.21 kapsamında istisna uygulama esasları. Ümraniye SMMM Adem Yılmaz.",Konut Kira Gelirlerine İlişkin İstisna Uygulaması,0,8,709
./hijyen.html,Önemli Duyuru – Karekod ve Hijyen Belgesi Zorunluluğu,28 Temmuz 2025'ten itibaren gıda işletmelerinde zorunlu hale gelen karekod ve hijyen belgesi uygulaması hakkında güncel duyuru ve yükümlülükler.,Karekod ve Hijyen Belgesi Zorunluluğu,0,8,409
./index.html,SMMM Adem Yılmaz | Mali Müşavir & Vergi Danışmanlığı,"SMMM Adem Yılmaz — Ümraniye Mali Müşavir. Muhasebe, vergi beyannameleri, SGK işlemleri, şirket kuruluşu, bordro, danışmanlık ve mali hukuki hizmetler.",Mali Güvenliğiniz İçin Profesyonel Çözümler,0,0,1506
./beykoz-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./mobilya-muhasebesi.html,Mobilya Mağazası Muhasebesi ve Açılışı | SMMM Adem Yılmaz,"Mobilya mağazası açılışında KDV oranı, sipariş üretim faturalandırması, taksitli satış ve showroom-depo muhasebesi. Ücretsiz ilk görüşme.",Mobilya Mağazaları için Muhasebe Rehberi,0,8,406
./bakkal-muhasebesi.html,Bakkal Muhasebesi ve Açılışı | SMMM Adem Yılmaz,"Bakkal ve market açılışında yazar kasa, karma KDV oranları, stok ve fire muhasebesi. Bakkal muhasebesi için adım adım rehber ve ücretsiz danışmanlık.",Bakkal ve Market İşletmeleri için Muhasebe Rehberi,0,8,456
./bayrampasa-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./petshop-veteriner-muhasebesi.html,Pet Shop ve Veteriner Kliniği Muhasebesi | SMMM Adem Yılmaz,"Pet shop ve veteriner kliniği açılışında ürün-hizmet ayrımı, serbest meslek makbuzu ve stok muhasebesi. Ücretsiz ilk görüşme.",Pet Shop ve Veteriner Klinikleri için Muhasebe Rehberi,0,8,420
./esenevler-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./gider-pusulasi.html,Gider Pusulası Nedir? | SMMM Adem Yılmaz,"Gider pusulası hangi durumlarda kullanılır, hangi bilgileri içermelidir?","Gider Pusulası Nedir, Ne Zaman Düzenlenir?",0,8,377
./apartman-kapici-istihdam.html,Apartman Kapıcısı İstihdam ve Kolay İşverenlik Rehberi | SMMM Adem Yılmaz,"Apartman kapıcı, bekçi istihdam hükümleri, SSK prim hesaplaması, vergi ve hukuki sorumluluklar. Kolay işverenlik sistemi (KIS) uygulaması.",Apartman Kapıcısı İstihdam Rehberi,0,13,694
./asgari-ucret-agi-2025.html,Asgari Ücret ve AGİ Rehberi | SMMM Adem Yılmaz,Asgari ücretin bordroda hesaplanması ve eski AGİ uygulaması hakkında genel bilgiler.,Asgari Ücret ve AGİ Hakkında Genel Bilgilendirme,0,8,508
./arac-kiralama-yonetmeligi-2027.html,Araç Kiralama Yönetmeliği 2027 | SMMM Adem Yılmaz,Ticaret Bakanlığı'nın 1 Ocak 2027'de yürürlüğe girecek Motorlu Kara Taşıtlarının Kiralanması Hakkında Yönetmeliği'nde neler var?,Araç Kiralamada Yeni Dönem: 1 Ocak 2027'de Her Şey Değişiyor,0,8,769
./sancaktepe-mali-musavir.html,Sancaktepe Mali Müşavir | SMMM Adem Yılmaz,"Sancaktepe'de mali müşavirlik, esnaf ve KOBİ muhasebesi. Sarıgazi ve tüm Sancaktepe mahallelerine online vergi ve muhasebe hizmeti.",Sancaktepe'de Esnaf ve KOBİ'ler için Mali Müşavirlik,0,8,474
./dudullu-osb-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./muhasebe-ve-vergi-hizmetleri.html,Mali Müşavirlik Hizmetleri | SMMM Adem Yılmaz,,,0,0,14
./sultanbeyli-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./pazaryeri-muhasebesi.html,Trendyol ve Hepsiburada Muhasebesi | SMMM Adem Yılmaz,"Trendyol, Hepsiburada, N11, PttAVM, Amazon Türkiye ve Shopier üzerinden satış yapan işletmeler için komisyon, kargo, iade ve stok muhasebesi.",Yurt İçi Pazaryerlerinde Kazancınızı Doğru Yönetin,0,8,622
./sgk-emeklilik-rehberi.html,SGK Emeklilik Rehberi | SMMM Adem Yılmaz,"Emeklilik planlamasında 4A, 4B ve 4C sigorta türleri, prim ödeme gün sayısı, yaş şartı ve ilk sigorta giriş tarihinin birlikte değerlendirilmesi.",SGK Emeklilik Şartlarına Genel Bakış,0,8,265
./adalar-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./adem-yavuz-mahallesi-mali-musavir.html,Hizmet Bölgeleri — Türkiye Geneli Online Mali Müşavir | SMMM Adem Yılmaz,,,0,0,24
./diyetisyen.html,Özel Sağlık Hizmet Birimi Ruhsatı | SMMM Adem Yılmaz,"Diyetisyen, psikolog, fizyoterapist ve diğer sağlık profesyonelleri için güncel Özel Sağlık Hizmet Birimi (SMHB) ruhsatı alma şartları, NACE kodları ve evrak.",Özel Sağlık Hizmet Birimi Ruhsatı Nasıl Alınır?,0,19,802
./sgk-bagkur-emeklilik.html,SGK ve Bağ-Kur Emeklilik Planlaması | SMMM Adem Yılmaz,SGK ve Bağ-Kur statüleri ile emeklilik planlamasının temel parametreleri hakkında özet rehber.,SGK / Bağ-Kur Temelleri ve Emeklilik Planlaması,0,8,454
./motor-kurye-muhasebesi.html,Motor Kurye Muhasebesi ve Bağ-Kur | SMMM Adem Yılmaz,"Getir, Yemeksepeti, Trendyol Go kuryeleri ve paket servis işletmeleri için vergi mükellefiyeti, esnaf kurye modeli, Bağ-Kur (4/B) yükümlülüğü, genç girişimci.",Motor Kurye ve Paket Servis İşletmelerinde Vergi ve Muhasebe,0,8,814
./iletisim.html,İletişim – SMMM Yılmaz,"SMMM Adem Yılmaz ile iletişime geçin. Ümraniye/İstanbul ofis adresi, telefon, e-posta ve online iletişim formu ile mali müşavirlik hizmeti talep edin.",Bizimle İletişime Geçin,0,7,124
